categoria,titulo,url,fuente,idioma,selector
Cloud,Escalabilidad,https://es.wikipedia.org/wiki/Escalabilidad,wikipedia,es,
Cloud,Google Cloud Platform,https://es.wikipedia.org/wiki/Google_Cloud_Platform,wikipedia,es,
Cloud,Infraestructura como servicio,https://es.wikipedia.org/wiki/Infraestructura_como_servicio,wikipedia,es,
Cloud,Microsoft Azure,https://es.wikipedia.org/wiki/Microsoft_Azure,wikipedia,es,
Cloud,Máquina virtual,https://es.wikipedia.org/wiki/M%C3%A1quina_virtual,wikipedia,es,
Cloud,Oracle Cloud Infrastructure,https://es.wikipedia.org/wiki/Oracle_Cloud_Infrastructure,wikipedia,es,
Cloud,Plataforma como servicio,https://es.wikipedia.org/wiki/Plataforma_como_servicio,wikipedia,es,
Cloud,Red de entrega de contenidos,https://es.wikipedia.org/wiki/Red_de_entrega_de_contenidos,wikipedia,es,
Cloud,Software como servicio,https://es.wikipedia.org/wiki/Software_como_servicio,wikipedia,es,
Data Science,Estructuras de datos,https://docs.python.org/es/3/tutorial/datastructures.html,html,es,
Data Science,Introducción informal a Python,https://docs.python.org/es/3/tutorial/introduction.html,html,es,
Data Science,Módulos en Python,https://docs.python.org/es/3/tutorial/modules.html,html,es,
Data Science,Programación funcional,https://docs.python.org/es/3/howto/functional.html,html,es,
Data Science,Análisis de datos,https://es.wikipedia.org/wiki/An%C3%A1lisis_de_datos,wikipedia,es,
Data Science,Aprendizaje automático,https://es.wikipedia.org/wiki/Aprendizaje_autom%C3%A1tico,wikipedia,es,
Data Science,Aprendizaje supervisado,https://es.wikipedia.org/wiki/Aprendizaje_supervisado,wikipedia,es,
Data Science,Ciencia de datos,https://es.wikipedia.org/wiki/Ciencia_de_datos,wikipedia,es,
Data Science,Minería de datos,https://es.wikipedia.org/wiki/Miner%C3%ADa_de_datos,wikipedia,es,
Data Science,Procesamiento de lenguajes naturales,https://es.wikipedia.org/wiki/Procesamiento_de_lenguajes_naturales,wikipedia,es,
Data Science,Red neuronal artificial,https://es.wikipedia.org/wiki/Red_neuronal_artificial,wikipedia,es,
Data Science,Regresión logística,https://es.wikipedia.org/wiki/Regresi%C3%B3n_log%C3%ADstica,wikipedia,es,
DevOps,Conceptos de Kubernetes,https://kubernetes.io/es/docs/concepts/overview/,html,es,
DevOps,Despliegues,https://kubernetes.io/es/docs/concepts/workloads/controllers/deployment/,html,es,
DevOps,Objetos de Kubernetes,https://kubernetes.io/es/docs/concepts/overview/working-with-objects/,html,es,
DevOps,Pods,https://kubernetes.io/es/docs/concepts/workloads/pods/,html,es,
DevOps,Servicios,https://kubernetes.io/es/docs/concepts/services-networking/service/,html,es,
DevOps,Ansible software,https://es.wikipedia.org/wiki/Ansible_(software),wikipedia,es,
DevOps,Automatización de procesos,https://es.wikipedia.org/wiki/Automatizaci%C3%B3n,wikipedia,es,
DevOps,Control de versiones,https://es.wikipedia.org/wiki/Control_de_versiones,wikipedia,es,
DevOps,DevOps,https://es.wikipedia.org/wiki/DevOps,wikipedia,es,
DevOps,Docker software,https://es.wikipedia.org/wiki/Docker_(software),wikipedia,es,
DevOps,Entrega continua,https://es.wikipedia.org/wiki/Entrega_continua,wikipedia,es,
DevOps,Infraestructura como código,https://es.wikipedia.org/wiki/Infraestructura_como_c%C3%B3digo,wikipedia,es,
DevOps,Integración continua,https://es.wikipedia.org/wiki/Integraci%C3%B3n_continua,wikipedia,es,
DevOps,Kubernetes,https://es.wikipedia.org/wiki/Kubernetes,wikipedia,es,
Frontend,Aplicaciones web progresivas,https://developer.mozilla.org/es/docs/Web/Progressive_web_apps,html,es,
Frontend,Añadir interactividad,https://es.react.dev/learn/adding-interactivity,html,es,
Frontend,Describir la interfaz,https://es.react.dev/learn/describing-the-ui,html,es,
Frontend,Diseño web adaptable,https://developer.mozilla.org/es/docs/Learn/CSS/CSS_layout/Responsive_Design,html,es,
Frontend,Fundamentos de CSS,https://developer.mozilla.org/es/docs/Learn/CSS/First_steps,html,es,
Frontend,Gestión del estado,https://es.react.dev/learn/managing-state,html,es,
Frontend,Introducción a HTML,https://developer.mozilla.org/es/docs/Learn/HTML/Introduction_to_HTML,html,es,
Frontend,Pensar en React,https://es.react.dev/learn/thinking-in-react,html,es,
Frontend,Angular framework,https://es.wikipedia.org/wiki/Angular_(framework),wikipedia,es,
Frontend,Document Object Model,https://es.wikipedia.org/wiki/Document_Object_Model,wikipedia,es,
Frontend,Hoja de estilos en cascada,https://es.wikipedia.org/wiki/Hoja_de_estilos_en_cascada,wikipedia,es,
Frontend,JavaScript,https://es.wikipedia.org/wiki/JavaScript,wikipedia,es,
Frontend,TypeScript,https://es.wikipedia.org/wiki/TypeScript,wikipedia,es,
Mobile,Android,https://es.wikipedia.org/wiki/Android,wikipedia,es,
Mobile,Android Studio,https://es.wikipedia.org/wiki/Android_Studio,wikipedia,es,
Mobile,Aplicación móvil,https://es.wikipedia.org/wiki/Aplicaci%C3%B3n_m%C3%B3vil,wikipedia,es,
Mobile,Flutter software,https://es.wikipedia.org/wiki/Flutter_(software),wikipedia,es,
Mobile,IOS,https://es.wikipedia.org/wiki/IOS,wikipedia,es,
Mobile,Interfaz de usuario,https://es.wikipedia.org/wiki/Interfaz_de_usuario,wikipedia,es,
Mobile,Kotlin,https://es.wikipedia.org/wiki/Kotlin,wikipedia,es,
Mobile,Objective-C,https://es.wikipedia.org/wiki/Objective-C,wikipedia,es,
Mobile,React Native,https://es.wikipedia.org/wiki/React_Native,wikipedia,es,
Mobile,Swift,https://es.wikipedia.org/wiki/Swift_(lenguaje_de_programaci%C3%B3n),wikipedia,es,
Mobile,Xamarin,https://es.wikipedia.org/wiki/Xamarin,wikipedia,es,
Seguridad,Política de mismo origen,https://developer.mozilla.org/es/docs/Web/Security/Same-origin_policy,html,es,
Seguridad,Seguridad en la web,https://developer.mozilla.org/es/docs/Web/Security,html,es,
Seguridad,Autenticación,https://es.wikipedia.org/wiki/Autenticaci%C3%B3n,wikipedia,es,
Seguridad,Cifrado,https://es.wikipedia.org/wiki/Cifrado_(criptograf%C3%ADa),wikipedia,es,
Seguridad,Cortafuegos informática,https://es.wikipedia.org/wiki/Cortafuegos_(inform%C3%A1tica),wikipedia,es,
Seguridad,Criptografía,https://es.wikipedia.org/wiki/Criptograf%C3%ADa,wikipedia,es,
Seguridad,Inyección SQL,https://es.wikipedia.org/wiki/Inyecci%C3%B3n_SQL,wikipedia,es,
Seguridad,OAuth,https://es.wikipedia.org/wiki/OAuth,wikipedia,es,
Seguridad,Seguridad informática,https://es.wikipedia.org/wiki/Seguridad_inform%C3%A1tica,wikipedia,es,
Seguridad,Transport Layer Security,https://es.wikipedia.org/wiki/Transport_Layer_Security,wikipedia,es,
